st_code,st_name,交易所產業分類,TEJ產業分類
1603,華電,M1600 電器電纜,M16 電線
1605,華新,M1600 電器電纜,M16 電線
1608,華榮,M1600 電器電纜,M16 電線
1609,大亞,M1600 電器電纜,M16 電線
1612,宏泰,M1600 電器電纜,M16 電線
1615,大山,M1600 電器電纜,M16 電線
1616,億泰,M1600 電器電纜,M16 電線
1617,榮星,M1600 電器電纜,M16 電線
1618,合機,M1600 電器電纜,M16 電線
1802,台玻,M1800 玻璃陶瓷,M18 玻璃陶瓷
1806,冠軍,M1800 玻璃陶瓷,M18 玻璃陶瓷
1809,中釉,M1800 玻璃陶瓷,M18 玻璃陶瓷
1810,和成,M1800 玻璃陶瓷,M18 玻璃陶瓷
1817,凱撒衛,M1800 玻璃陶瓷,M18 玻璃陶瓷
9949,琉園,M3200 文化創意業,M18 玻璃陶瓷
1101,台泥,M1100 水泥工業,M11A 水泥製造
1102,亞泥,M1100 水泥工業,M11A 水泥製造
1103,嘉泥,M1100 水泥工業,M11A 水泥製造
1104,環泥,M1100 水泥工業,M11A 水泥製造
1108,幸福,M1100 水泥工業,M11A 水泥製造
1109,信大,M1100 水泥工業,M11A 水泥製造
1110,東泥,M1100 水泥工業,M11A 水泥製造
8463,潤泰材,M9900 其他,M11A 水泥製造
2504,國產,M2500 建材營造,M11B 預拌混凝土
5520,力泰,M2500 建材營造,M11B 預拌混凝土
5546,永固-KY,M2500 建材營造,M11B 預拌混凝土
8424,惠普,M2500 建材營造,M11C 其他水泥
9930,中聯資源,M9900 其他,M11C 其他水泥
1217,愛之味,M1200 食品工業,M12A 罐頭加工
8905,裕國,M9900 其他,M12A 罐頭加工
1210,大成,M1200 食品工業,M12B 油脂飼料
1215,卜蜂,M1200 食品工業,M12B 油脂飼料
1218,泰山,M1200 食品工業,M12B 油脂飼料
1219,福壽,M1200 食品工業,M12B 油脂飼料
1220,台榮,M1200 食品工業,M12B 油脂飼料
1225,福懋油,M1200 食品工業,M12B 油脂飼料
1229,聯華,M1200 食品工業,M12B 油脂飼料
1232,大統益,M1200 食品工業,M12B 油脂飼料
1235,興泰,M1200 食品工業,M12B 油脂飼料
1702,南僑,M1200 食品工業,M12B 油脂飼料
1240,茂生農經,M3300 農業科技,M12B 油脂飼料
6578,達邦蛋白,M3300 農業科技,M12B 油脂飼料
3313,斐成,M9900 其他,M12B 油脂飼料
1201,味全,M1200 食品工業,M12C 飲料乳品
1213,大飲,M1200 食品工業,M12C 飲料乳品
1216,統一,M1200 食品工業,M12C 飲料乳品
1234,黑松,M1200 食品工業,M12C 飲料乳品
1256,鮮活果汁-KY,M1200 食品工業,M12C 飲料乳品
1203,味王,M1200 食品工業,M12Z 其他食品
1227,佳格,M1200 食品工業,M12Z 其他食品
1231,聯華食,M1200 食品工業,M12Z 其他食品
1233,天仁,M1200 食品工業,M12Z 其他食品
1236,宏亞,M1200 食品工業,M12Z 其他食品
1258,其祥-KY,M1200 食品工業,M12Z 其他食品
1264,德麥,M1200 食品工業,M12Z 其他食品
1737,臺鹽,M1200 食品工業,M12Z 其他食品
4205,中華食,M1200 食品工業,M12Z 其他食品
4207,環泰,M1200 食品工業,M12Z 其他食品
1301,台塑,M1300 塑膠工業,M13A1 泛用塑膠
1303,南亞,M1300 塑膠工業,M13A1 泛用塑膠
1304,台聚,M1300 塑膠工業,M13A1 泛用塑膠
1305,華夏,M1300 塑膠工業,M13A1 泛用塑膠
1307,三芳,M1300 塑膠工業,M13A6 合成皮
1308,亞聚,M1300 塑膠工業,M13A1 泛用塑膠
1309,台達化,M1300 塑膠工業,M13A1 泛用塑膠
1310,台苯,M1300 塑膠工業,M13A1 泛用塑膠
1312,國喬,M1300 塑膠工業,M13A1 泛用塑膠
1313,聯成,M1300 塑膠工業,M13A7 可塑劑
1314,中石化,M1300 塑膠工業,M13A5 化纖
1315,達新,M1300 塑膠工業,M13A8 塑膠加工
1321,大洋,M1300 塑膠工業,M13A8 塑膠加工
1323,永裕,M1300 塑膠工業,M13A8 塑膠加工
1324,地球,M1300 塑膠工業,M13A9 膠帶
1326,台化,M1300 塑膠工業,M13A1 泛用塑膠
1341,富林-KY,M1300 塑膠工業,M13A6 合成皮
4303,信立,M1300 塑膠工業,M13A6 合成皮
4304,勝昱,M1300 塑膠工業,M13A8 塑膠加工
4305,世坤,M1300 塑膠工業,M13A8 塑膠加工
4306,炎洲,M1300 塑膠工業,M13A9 膠帶
1710,東聯,M1721 化學工業,M13A5 化纖
1718,中纖,M1721 化學工業,M13A5 化纖
2461,光群雷,M2331 其他電子業,M13A8 塑膠加工
3303,岱稜,M2331 其他電子業,M13A8 塑膠加工
6151,晉倫,M2331 其他電子業,M13A8 塑膠加工
3171,新洲,M2900 貿易百貨,M13A9 膠帶
8354,冠好,M9900 其他,M13A9 膠帶
8942,森鉅,M9900 其他,M13A8 塑膠加工
1337,再生-KY,M1300 塑膠工業,M13B 塑膠製品
1340,勝悅-KY,M1300 塑膠工業,M13B 塑膠製品
5356,協益,M2325 電腦及週邊,M13B 塑膠製品
1342,八貫,M9900 其他,M13B 塑膠製品
8421,旭源,M9900 其他,M13B 塑膠製品
8466,美吉吉-KY,M9900 其他,M13B 塑膠製品
8935,邦泰,M9900 其他,M13B 塑膠製品
9939,宏全,M9900 其他,M13B 塑膠製品
6505,台塑化,M9700 油電燃氣業,M13C 輕油製解
1402,遠東新,M1400 紡織纖維,M14A1 聚酯絲棉
1409,新纖,M1400 紡織纖維,M14A1 聚酯絲棉
1413,宏洲,M1400 紡織纖維,M14A2 加工絲
1440,南紡,M1400 紡織纖維,M14A1 聚酯絲棉
1444,力麗,M1400 紡織纖維,M14A2 加工絲
1447,力鵬,M1400 紡織纖維,M14A7 尼龍絲
1452,宏益,M1400 紡織纖維,M14A2 加工絲
1455,集盛,M1400 紡織纖維,M14A7 尼龍絲
1457,宜進,M1400 紡織纖維,M14A2 加工絲
1459,聯發,M1400 紡織纖維,M14A2 加工絲
1466,聚隆,M1400 紡織纖維,M14A7 尼龍絲
4401,東隆興,M1400 紡織纖維,M14A7 尼龍絲
4402,福大,M1400 紡織纖維,M14A7 尼龍絲
4406,新昕纖,M1400 紡織纖維,M14A2 加工絲
4440,宜新實業,M1400 紡織纖維,M14A2 加工絲
1414,東和,M1400 紡織纖維,M14B1 聚酯紗棉紗
1418,東華,M1400 紡織纖維,M14B2 亞克力纖維
1441,大東,M1400 紡織纖維,M14B1 聚酯紗棉紗
1417,嘉裕,M1400 紡織纖維,M14C1 成衣製造
1419,新紡,M1400 紡織纖維,M14C2 織布
1434,福懋,M1400 紡織纖維,M14C2 織布
1445,大宇,M1400 紡織纖維,M14C2 織布
1446,宏和,M1400 紡織纖維,M14C2 織布
1449,佳和,M1400 紡織纖維,M14C2 織布
1451,年興,M1400 紡織纖維,M14C1 成衣製造
1454,台富,M1400 紡織纖維,M14C2 織布
1460,宏遠,M1400 紡織纖維,M14C2 織布
1464,得力,M1400 紡織纖維,M14C2 織布
1465,偉全,M1400 紡織纖維,M14C2 織布
1467,南緯,M1400 紡織纖維,M14C1 成衣製造
1468,昶和,M1400 紡織纖維,M14C2 織布
1473,台南,M1400 紡織纖維,M14C1 成衣製造
1474,弘裕,M1400 紡織纖維,M14C2 織布
1475,業旺,M1400 紡織纖維,M14C2 織布
1476,儒鴻,M1400 紡織纖維,M14C1 成衣製造
1477,聚陽,M1400 紡織纖維,M14C1 成衣製造
4413,飛寶企業,M1400 紡織纖維,M14C2 織布
4420,光明,M1400 紡織纖維,M14C2 織布
4426,利勤,M1400 紡織纖維,M14C2 織布
4432,銘旺實,M1400 紡織纖維,M14C1 成衣製造
4433,興采,M1400 紡織纖維,M14C2 織布
4438,廣越,M1400 紡織纖維,M14C1 成衣製造
4439,冠星-KY,M1400 紡織纖維,M14C2 織布
5906,台南-KY,M1398 紡織纖維,M14C1 成衣製造
8916,光隆,M1399 紡織纖維,M14C1 成衣製造
1423,利華,M1400 紡織纖維,M14D2 毛紡
1439,雋揚,M1400 紡織纖維,M14D2 毛紡
1410,南染,M1400 紡織纖維,M14E 染整
1463,強盛,M1400 紡織纖維,M14E 染整
1470,大統新創,M1400 紡織纖維,M14E 染整
1325,恒大,M1300 塑膠工業,M14F 不織布
6504,南六,M9900 其他,M14F 不織布
8929,富堡,M9900 其他,M14F 不織布
9919,康那香,M9900 其他,M14F 不織布
9944,新麗,M9900 其他,M14F 不織布
4417,金洲,M1400 紡織纖維,M14Z 其他紡織
4430,耀億,M9900 其他,M14Z 其他紡織
8404,百和興業-KY,M9900 其他,M14Z 其他紡織
8932,宏大,M9900 其他,M14Z 其他紡織
9938,百和,M9900 其他,M14Z 其他紡織
1527,鑽全,M1500 電機機械,M15A1 工具機
1528,恩德,M1500 電機機械,M15A1 工具機
1530,亞崴,M1500 電機機械,M15A1 工具機
1531,高林股,M1500 電機機械,M15A3 紡織工具機
1532,勤美,M1500 電機機械,M15A2 模具零件
1538,正峰,M1500 電機機械,M15A1 工具機
1539,巨庭,M1500 電機機械,M15A1 工具機
1540,喬福,M1500 電機機械,M15A1 工具機
1541,錩泰,M1500 電機機械,M15A1 工具機
1558,伸興,M1500 電機機械,M15A3 紡織工具機
1570,力肯,M1500 電機機械,M15A1 工具機
1583,程泰,M1500 電機機械,M15A1 工具機
1589,永冠-KY,M1500 電機機械,M15A2 模具零件
1590,亞德客-KY,M1500 電機機械,M15A2 模具零件
1591,駿吉-KY,M1500 電機機械,M15A1 工具機
1597,直得,M1500 電機機械,M15A2 模具零件
2049,上銀,M1500 電機機械,M15A2 模具零件
2067,嘉鋼,M1500 電機機械,M15A2 模具零件
4510,高鋒,M1500 電機機械,M15A1 工具機
4513,福裕,M1500 電機機械,M15A1 工具機
4526,東台,M1500 電機機械,M15A1 工具機
4533,協易機,M1500 電機機械,M15A1 工具機
4534,慶騰,M1500 電機機械,M15A1 工具機
4538,大詠城,M1500 電機機械,M15A2 模具零件
4540,全球傳動,M1500 電機機械,M15A2 模具零件
4555,氣立,M1500 電機機械,M15A2 模具零件
4560,強信-KY,M1500 電機機械,M15A3 紡織工具機
